equipo,liga,elo,partidos_muestra,gf_casa,gc_casa,gf_fuera,gc_fuera,tiros_puerta_favor,tiros_puerta_contra,ultimo_partido
Sociedad B,LaLiga Hypermotion,1396.5,20,1.2,1.2,1.25,1.6,4.45,4.45,2026-09-05
Stoke,Championship,1395.4,20,1.45,1.3,0.7,1.55,3.5,4.15,2026-09-08
Sudtirol,Serie B,1394.4,20,0.95,1.0,1.0,1.4,3.35,3.7,2026-09-05
Banfield,Primera Division,1393.9,20,1.3,1.2,0.75,1.45,,,2026-09-05
Karlsruhe,2. Bundesliga,1393.7,20,2.05,1.75,1.15,1.95,4.53,5.58,2026-09-04
San Martin S.J.,Primera Division,1392.8,20,0.69,1.06,0.44,1.06,,,2025-11-15
Padova,Serie B,1389.1,20,1.1,1.15,0.95,1.35,3.67,4.95,2026-09-06
Leicester,Championship,1389.0,20,1.35,1.65,1.15,1.5,3.95,4.17,2026-05-02
Darmstadt,2. Bundesliga,1388.8,20,1.85,1.05,1.3,1.7,4.62,4.95,2026-09-05
Volendam,Eredivisie,1382.8,20,1.45,1.55,0.65,2.2,3.83,6.58,2026-05-17
Oxford,Championship,1380.9,20,1.0,1.1,0.8,1.35,3.35,4.17,2026-05-02
Valladolid,LaLiga Hypermotion,1380.2,20,1.05,1.05,0.95,1.85,3.65,3.98,2026-09-05
Cesena,Serie B,1379.8,20,1.45,1.5,0.95,1.4,4.1,4.12,2026-09-06
Dresden,2. Bundesliga,1375.5,20,1.6,1.25,1.45,2.05,4.33,4.42,2026-09-05
Ceuta,LaLiga Hypermotion,1373.3,20,1.25,1.25,1.0,1.9,3.65,4.97,2026-09-05
Mirandes,LaLiga Hypermotion,1373.0,20,1.1,1.5,1.25,1.85,4.4,5.15,2026-05-31
Carrarese,Serie B,1372.4,20,1.35,1.0,1.1,1.8,3.98,4.03,2026-09-05
Sochaux,Ligue 2,1372.3,20,1.6,1.05,1.05,1.15,4.42,4.5,2026-09-04
Vicenza,Serie B,1368.2,20,1.25,1.4,0.9,1.85,4.12,4.65,2026-09-06
Dunkerque,Ligue 2,1368.0,20,1.45,1.15,1.65,1.6,4.2,3.75,2026-09-04
Cardiff,Championship,1366.5,20,1.0,1.25,1.2,2.0,4.4,4.5,2026-09-08
Preston,Championship,1366.2,20,1.25,1.65,1.1,1.55,3.55,4.78,2026-09-08
Spezia,Serie B,1363.9,20,1.3,1.35,1.05,1.75,3.95,4.53,2026-05-08
Sampdoria,Serie B,1363.3,20,1.15,1.1,0.7,1.45,3.83,3.6,2026-09-07
Greuther Furth,2. Bundesliga,1362.0,20,1.55,1.9,1.45,2.1,4.3,5.15,2026-09-06
Pescara,Serie B,1361.8,20,1.47,1.37,1.21,2.11,4.97,5.32,2026-05-08
Eldense,LaLiga Hypermotion,1360.3,20,1.2,1.5,0.75,1.6,3.67,4.47,2026-09-05
Virtus Entella,Serie B,1358.4,20,1.45,1.05,0.45,1.7,3.75,3.88,2026-09-06
Willem II,Eredivisie,1357.7,20,1.15,1.8,0.9,1.9,3.08,5.55,2026-09-05
Grenoble,Ligue 2,1353.4,20,0.9,0.85,1.2,1.65,3.42,4.58,2026-09-04
Cadiz,LaLiga Hypermotion,1353.1,20,0.9,1.4,0.95,1.7,3.1,4.95,2026-09-06
Bari,Serie B,1350.6,20,1.2,1.25,0.75,1.75,3.12,5.7,2026-05-08
Braunschweig,2. Bundesliga,1349.9,20,1.2,1.8,1.15,1.75,4.1,4.58,2026-09-06
Fortuna Dusseldorf,2. Bundesliga,1348.6,20,1.4,1.45,0.8,1.7,4.1,4.85,2026-05-17
Dijon,Ligue 2,1346.0,20,1.05,1.0,0.9,1.4,3.85,3.83,2026-09-04
Guingamp,Ligue 2,1345.4,20,1.25,1.35,1.3,1.6,4.35,4.03,2026-09-05
Benevento,Serie B,1343.8,20,0.9,1.35,0.85,1.25,3.12,4.42,2026-09-05
Aldosivi,Primera Division,1342.9,20,0.85,0.9,0.5,1.55,,,2026-09-05
Clermont,Ligue 2,1336.2,20,1.0,0.95,1.1,1.55,3.15,3.85,2026-09-04
Cambuur,Eredivisie,1336.0,20,0.85,2.3,0.9,2.15,3.8,5.95,2026-09-06
Huesca,LaLiga Hypermotion,1335.7,20,1.1,1.15,0.85,1.95,3.25,4.78,2026-05-31
Osnabruck,2. Bundesliga,1334.1,20,0.95,1.68,1.05,2.37,3.79,6.08,2026-09-06
Chapecoense-SC,Brasileirao,1333.4,20,1.2,2.05,0.6,2.0,,,2026-09-06
Estudiantes Rio Cuarto,Primera Division,1333.1,20,0.38,1.0,0.27,1.82,,,2026-09-04
Pau FC,Ligue 2,1327.0,20,1.15,1.55,1.55,2.0,3.92,4.22,2026-09-04
Boulogne,Ligue 2,1321.0,20,1.1,1.75,0.74,0.89,3.54,3.9,2026-09-04
Bastia,Ligue 2,1320.0,20,1.05,1.3,0.8,1.15,4.2,3.48,2026-05-09
Zaragoza,LaLiga Hypermotion,1319.6,20,0.85,1.4,0.85,1.35,3.5,4.62,2026-05-31
Nancy,Ligue 2,1316.4,20,1.0,1.65,1.0,1.2,3.12,4.12,2026-09-07
Reggiana,Serie B,1314.5,20,1.15,1.2,0.8,1.75,3.38,4.97,2026-05-08
Preußen Münster,2. Bundesliga,1313.1,20,1.3,1.4,1.2,2.0,4.1,4.75,2026-05-17
Heracles,Eredivisie,1312.1,20,1.3,2.1,0.8,2.9,3.7,6.8,2026-05-17
Laval,Ligue 2,1309.4,20,1.0,1.55,0.75,1.35,3.48,4.55,2026-09-04
Cultural Leonesa,LaLiga Hypermotion,1307.2,20,0.75,1.55,1.15,1.55,4.2,4.55,2026-05-30
Sport Recife,Brasileirao,1293.6,20,0.9,2.0,0.6,1.8,,,2025-12-07
Sheffield Weds,Championship,1221.4,20,0.7,1.8,0.5,2.05,2.25,5.88,2026-05-02
Amiens,Ligue 2,1219.8,20,1.25,1.8,1.05,1.85,3.45,5.33,2026-05-09
