fecha,local,visitante,gl,gv,b365c_1,b365c_x,b365c_2,avgc_1,avgc_x,avgc_2,b365c_over25,b365c_under25
2026-03-01,Instituto,Union de Santa Fe,1,2,,,,2.53,2.83,3.03,,
2026-03-01,Argentinos Jrs,Barracas Central,1,1,,,,1.37,4.09,9.5,,
2026-03-01,Newells Old Boys,Rosario Central,0,2,,,,4.7,3.18,1.82,,
2026-03-02,Dep. Riestra,Platense,0,0,,,,2.6,2.51,3.39,,
2026-03-02,Estudiantes L.P.,Velez Sarsfield,0,1,,,,2.19,2.79,3.85,,
2026-03-02,Tigre,Gimnasia L.P.,2,2,,,,1.99,2.98,4.19,,
2026-03-02,Defensa y Justicia,Lanus,1,1,,,,2.15,2.99,3.58,,
2026-03-03,Ind. Rivadavia,River Plate,1,1,,,,2.99,3.04,2.42,,
2026-03-03,Sarmiento Junin,Estudiantes Rio Cuarto,1,0,,,,1.87,3.03,4.65,,
2026-03-03,Huracan,Belgrano,3,1,,,,2.9,2.64,2.81,,
2026-03-03,Banfield,Aldosivi,2,0,,,,2.05,3.0,3.93,,
2026-03-04,Atl. Tucuman,Racing Club,0,3,,,,3.06,2.86,2.5,,
2026-03-05,Lanus,Boca Juniors,0,3,,,,2.91,2.85,2.63,,
2026-03-10,Tigre,Velez Sarsfield,1,1,,,,2.26,2.78,3.57,,
2026-03-10,Independiente,Union de Santa Fe,4,4,,,,2.01,3.17,3.79,,
2026-03-11,Newells Old Boys,Platense,1,1,,,,3.18,2.8,2.46,,
2026-03-11,Sarmiento Junin,Racing Club,0,0,,,,3.49,2.98,2.19,,
2026-03-11,Argentinos Jrs,Rosario Central,0,0,,,,1.98,2.96,4.24,,
2026-03-11,Banfield,Gimnasia L.P.,1,2,,,,2.26,2.96,3.36,,
2026-03-11,Boca Juniors,San Lorenzo,1,1,,,,1.71,3.16,5.78,,
2026-03-12,Atl. Tucuman,Aldosivi,1,1,,,,2.07,2.98,3.89,,
2026-03-12,Defensa y Justicia,Central Cordoba,1,1,,,,1.89,3.1,4.4,,
2026-03-12,Dep. Riestra,Gimnasia Mendoza,0,0,,,,2.04,2.67,4.68,,
2026-03-12,Estudiantes Rio Cuarto,Belgrano,0,1,,,,3.31,2.77,2.41,,
2026-03-12,Talleres Cordoba,Instituto,2,0,,,,2.19,2.85,3.69,,
2026-03-12,Ind. Rivadavia,Barracas Central,1,2,,,,1.45,3.88,7.78,,
2026-03-13,Huracan,River Plate,1,2,,,,3.22,2.8,2.39,,
2026-03-14,Platense,Velez Sarsfield,0,2,,,,2.81,2.7,2.81,,
2026-03-15,River Plate,Sarmiento Junin,2,0,,,,1.44,3.82,8.14,,
2026-03-15,Rosario Central,Banfield,2,1,,,,1.59,3.55,5.94,,
2026-03-15,Belgrano,Talleres Cordoba,0,0,,,,2.34,2.8,3.38,,
2026-03-15,Gimnasia L.P.,Ind. Rivadavia,2,3,,,,2.83,2.98,2.54,,
2026-03-16,Tigre,Argentinos Jrs,1,1,,,,2.75,2.7,2.9,,
2026-03-16,Barracas Central,Atl. Tucuman,2,1,,,,2.77,2.83,2.74,,
2026-03-16,Aldosivi,Huracan,0,0,,,,3.16,2.65,2.59,,
2026-03-16,Union de Santa Fe,Boca Juniors,1,1,,,,2.84,2.68,2.81,,
2026-03-16,Racing Club,Estudiantes Rio Cuarto,2,0,,,,1.39,4.06,8.75,,
2026-03-16,San Lorenzo,Defensa y Justicia,2,5,,,,2.16,2.78,3.87,,
2026-03-17,Instituto,Independiente,2,1,,,,2.68,2.91,2.75,,
2026-03-17,Lanus,Newells Old Boys,5,0,,,,1.64,3.42,5.64,,
2026-03-18,Gimnasia Mendoza,Estudiantes L.P.,1,2,,,,3.92,2.82,2.12,,
2026-03-18,Central Cordoba,Dep. Riestra,1,0,,,,3.03,2.53,2.82,,
2026-03-21,Velez Sarsfield,Lanus,0,1,,,,2.21,2.93,3.5,,
2026-03-21,Defensa y Justicia,Union de Santa Fe,2,0,,,,2.85,2.92,2.58,,
2026-03-21,Newells Old Boys,Gimnasia Mendoza,1,0,,,,2.43,2.75,3.27,,
2026-03-21,Independiente,Talleres Cordoba,1,2,,,,1.91,3.1,4.25,,
2026-03-21,Atl. Tucuman,Gimnasia L.P.,1,0,,,,2.01,3.13,3.8,,
2026-03-21,Banfield,Tigre,1,0,,,,2.97,2.71,2.68,,
2026-03-22,Estudiantes Rio Cuarto,River Plate,0,2,,,,7.73,3.56,1.5,,
2026-03-22,Sarmiento Junin,Aldosivi,2,0,,,,2.34,2.73,3.48,,
