fecha,local,visitante,gl,gv,b365c_1,b365c_x,b365c_2,avgc_1,avgc_x,avgc_2,b365c_over25,b365c_under25
2026-04-19,Coritiba,Atletico-MG,2,0,,,,2.23,3.1,3.29,,
2026-04-19,Internacional,Mirassol,1,2,,,,1.88,3.4,4.04,,
2026-04-19,Cruzeiro,Gremio,2,0,,,,1.66,3.65,5.03,,
2026-04-19,Vitoria,Corinthians,0,0,,,,2.6,2.96,2.84,,
2026-04-19,Palmeiras,Athletico-PR,1,0,,,,1.56,3.78,5.93,,
2026-04-25,Remo,Cruzeiro,0,1,,,,2.82,3.28,2.38,,
2026-04-25,Botafogo RJ,Internacional,2,2,,,,2.48,3.18,2.75,,
2026-04-25,Bahia,Santos,2,2,,,,1.59,3.86,5.21,,
2026-04-26,Gremio,Coritiba,1,0,,,,1.87,3.27,4.16,,
2026-04-26,Corinthians,Vasco,1,0,,,,2.14,3.21,3.34,,
2026-04-26,Sao Paulo,Mirassol,1,0,,,,1.95,3.29,3.83,,
2026-04-26,Athletico-PR,Vitoria,3,1,,,,1.59,3.64,5.79,,
2026-04-26,Bragantino,Palmeiras,0,1,,,,2.8,3.13,2.48,,
2026-04-27,Atletico-MG,Flamengo RJ,0,4,,,,4.6,3.47,1.74,,
2026-04-27,Fluminense,Chapecoense-SC,2,1,,,,1.28,5.27,9.42,,
2026-05-02,Palmeiras,Santos,1,1,,,,1.55,3.79,6.06,,
2026-05-02,Botafogo RJ,Remo,1,2,,,,1.53,3.98,5.69,,
2026-05-02,Vitoria,Coritiba,4,1,,,,2.16,3.01,3.52,,
2026-05-03,Internacional,Fluminense,2,0,,,,2.17,3.16,3.32,,
2026-05-03,Sao Paulo,Bahia,2,2,,,,1.98,3.38,3.6,,
2026-05-03,Flamengo RJ,Vasco,2,2,,,,1.43,4.22,7.05,,
2026-05-03,Cruzeiro,Atletico-MG,1,3,,,,1.82,3.29,4.45,,
2026-05-03,Athletico-PR,Gremio,0,0,,,,1.72,3.36,4.98,,
2026-05-03,Chapecoense-SC,Bragantino,1,2,,,,4.04,3.36,1.87,,
2026-05-04,Mirassol,Corinthians,2,1,,,,2.56,2.91,2.88,,
2026-05-09,Fluminense,Vitoria,2,2,,,,1.49,4.1,6.22,,
2026-05-09,Coritiba,Internacional,2,2,,,,2.66,3.06,2.66,,
2026-05-10,Atletico-MG,Botafogo RJ,1,1,,,,2.15,3.29,3.22,,
2026-05-10,Bahia,Cruzeiro,1,2,,,,1.93,3.45,3.69,,
2026-05-10,Corinthians,Sao Paulo,3,2,,,,2.04,3.08,3.8,,
2026-05-10,Remo,Palmeiras,1,1,,,,3.9,3.38,1.9,,
2026-05-10,Santos,Bragantino,2,0,,,,2.11,3.3,3.32,,
2026-05-10,Gremio,Flamengo RJ,0,1,,,,3.9,3.3,1.91,,
2026-05-10,Mirassol,Chapecoense-SC,1,1,,,,1.44,4.25,6.83,,
2026-05-11,Vasco,Athletico-PR,1,0,,,,1.79,3.34,4.48,,
2026-05-16,Atletico-MG,Mirassol,3,1,,,,1.95,3.28,3.83,,
2026-05-16,Internacional,Vasco,4,1,,,,1.91,3.27,4.01,,
2026-05-16,Fluminense,Sao Paulo,2,1,,,,1.7,3.62,4.67,,
2026-05-17,Santos,Coritiba,0,3,,,,1.55,3.85,5.79,,
2026-05-17,Chapecoense-SC,Remo,2,3,,,,2.46,3.21,2.76,,
2026-05-17,Bragantino,Vitoria,2,0,,,,1.54,4.01,5.6,,
2026-05-17,Botafogo RJ,Corinthians,3,1,,,,2.59,3.07,2.74,,
2026-05-17,Bahia,Gremio,1,1,,,,1.64,3.85,4.78,,
2026-05-17,Palmeiras,Cruzeiro,1,1,,,,1.88,3.33,3.98,,
2026-05-17,Athletico-PR,Flamengo RJ,1,1,,,,3.5,3.17,2.08,,
2026-05-23,Sao Paulo,Botafogo RJ,1,1,,,,1.69,3.71,4.59,,
2026-05-23,Vitoria,Internacional,2,0,,,,2.79,3.1,2.52,,
2026-05-23,Gremio,Santos,3,2,,,,2.14,3.21,3.35,,
2026-05-23,Mirassol,Fluminense,1,0,,,,2.55,2.98,2.85,,
2026-05-24,Corinthians,Atletico-MG,1,0,,,,1.8,3.22,4.71,,
2026-05-24,Remo,Athletico-PR,1,2,,,,2.16,3.18,3.31,,
2026-05-24,Cruzeiro,Chapecoense-SC,2,1,,,,1.27,5.41,9.47,,
2026-05-24,Flamengo RJ,Palmeiras,0,3,,,,1.73,3.43,4.77,,
2026-05-25,Vasco,Bragantino,0,3,,,,2.05,3.33,3.45,,
2026-05-26,Coritiba,Bahia,3,2,,,,2.51,3.23,2.69,,
2026-05-30,Bahia,Botafogo RJ,2,1,,,,1.95,3.63,3.43,,
2026-05-30,Gremio,Corinthians,1,3,,,,2.99,3.08,2.38,,
2026-05-30,Flamengo RJ,Coritiba,3,0,,,,1.32,5.08,8.16,,
2026-05-30,Athletico-PR,Mirassol,1,0,,,,1.88,3.21,4.28,,
2026-05-31,Santos,Vitoria,3,1,,,,1.64,3.67,5.11,,
2026-05-31,Bragantino,Internacional,3,1,,,,1.98,3.41,3.54,,
2026-05-31,Palmeiras,Chapecoense-SC,1,0,,,,1.37,4.63,7.74,,
2026-05-31,Vasco,Atletico-MG,0,1,,,,1.9,3.4,3.87,,
2026-06-01,Remo,Sao Paulo,1,0,,,,2.95,3.17,2.35,,
2026-06-01,Cruzeiro,Fluminense,1,1,,,,1.87,3.26,4.21,,
2026-07-16,Botafogo RJ,Santos,2,1,,,,2.17,3.33,3.15,,
2026-07-16,Vitoria,Vasco,1,0,,,,2.46,3.19,2.79,,
2026-07-17,Bahia,Chapecoense-SC,2,0,,,,1.38,4.7,7.07,,
2026-07-18,Fluminense,Bragantino,1,1,,,,1.8,3.42,4.24,,
2026-07-18,Mirassol,Gremio,2,1,,,,1.89,3.27,4.05,,
2026-07-21,Atletico-MG,Bahia,1,1,,,,1.82,3.51,4.0,,
2026-07-22,Coritiba,Palmeiras,1,3,,,,3.96,3.14,1.96,,
2026-07-23,Corinthians,Remo,3,0,,,,1.48,4.05,6.5,,
2026-07-23,Sao Paulo,Athletico-PR,1,2,,,,1.98,3.15,3.87,,
2026-07-23,Internacional,Cruzeiro,1,2,,,,2.33,3.26,2.89,,
2026-07-23,Chapecoense-SC,Flamengo RJ,0,4,,,,8.15,4.6,1.35,,
2026-07-23,Botafogo RJ,Vitoria,0,0,,,,1.72,3.66,4.39,,
2026-07-25,Santos,Chapecoense-SC,2,2,,,,1.32,4.91,8.39,,
2026-07-25,Athletico-PR,Internacional,2,0,,,,1.94,3.22,3.89,,
2026-07-26,Flamengo RJ,Sao Paulo,1,1,,,,1.41,4.32,7.26,,
2026-07-26,Palmeiras,Atletico-MG,1,2,,,,1.57,3.71,5.78,,
2026-07-26,Gremio,Fluminense,1,1,,,,3.35,3.18,2.14,,
